word,fam_name,fam_num
accomplish,accomplish_,1
accomplished,accomplish_,1
accomplishing,accomplish_,1
accomplishment,accomplish_,1
accomplishments,accomplish_,1
achieve,achiev_,2
achieved,achiev_,2
achievement,achiev_,2
achievements,achiev_,2
achieves,achiev_,2
achieving,achiev_,2
admirable,admir_,3
admirably,admir_,3
admiration,admir_,3
admired,admir_,3
ambition,ambiti_,4
ambitious,ambiti_,4
articulate,articulate_,5
astonishing,astonish_,6
brilliant,brilliant_,7
brilliantly,brilliant_,7
capabilities,capabl_,8
capability,capabl_,8
capable,capabl_,8
capably,capabl_,8
charismatic,charisma_,9
collaborate,collabor_,10
collaborated,collabor_,10
collaborates,collabor_,10
collaborating,collabor_,10
collaboration,collabor_,10
collaborations,collabor_,10
collaborative,collabor_,10
collaboratively,collabor_,10
collaborator,collabor_,10
collaborators,collabor_,10
commitment,commitment_,11
commitments,commitment_,11
committed,commitment_,11
contribute,contribut_,12
contributed,contribut_,12
contributes,contribut_,12
contributing,contribut_,12
contribution,contribut_,12
contributions,contribut_,12
contributor,contribut_,12
contributors,contribut_,12
creative,creativ_,13
creatively,creativ_,13
creativity,creativ_,13
critical,critical_,14
critically,critical_,14
dedicated,dedic_,15
dedication,dedic_,15
deft,deft_,16
deftly,deft_,16
delight,delightful_,17
delightful,delightful_,17
deserved,deserv_,18
deserves,deserv_,18
deserving,deserv_,18
determination,determined_,19
determined,determined_,19
disciplined,disciplined_,20
discover,discov_,21
discovered,discov_,21
discoveries,discov_,21
discovering,discov_,21
discovery,discov_,21
exceed,exceed_,22
exceeded,exceed_,22
exceeding,exceed_,22
exceedingly,exceed_,22
exceeds,exceed_,22
excel,excel_,23
excelled,excel_,23
excellence,excel_,23
excellent,excel_,23
excellently,excel_,23
excelling,excel_,23
excels,excel_,23
exceptional,exceptional_,24
exceptionally,exceptional_,24
extraordinary,extraordinar_,25
first author,firstauthor_,26
first authored,firstauthor_,26
first authorship,firstauthor_,26
firstauthor,firstauthor_,26
firstauthored,firstauthor_,26
firstauthorship,firstauthor_,26
primary author,firstauthor_,26
primary authorship,firstauthor_,26
primaryauthor,firstauthor_,26
primaryauthorship,firstauthor_,26
first rate,firstrate_,27
firstrate,firstrate_,27
idea,idea_,28
ideas,idea_,28
impressed,impress_,29
impresses,impress_,29
impressive,impress_,29
impressively,impress_,29
initiative,initiat_,30
innovation,innov_,31
innovations,innov_,31
innovative,innov_,31
innovator,innov_,31
intellect,intellectu_,32
intellectual,intellectu_,32
intellectually,intellectu_,32
intelligence,intelligent_,33
intelligent,intelligent_,33
lead,leadership_,34
leader,leadership_,34
leaders,leadership_,34
leadership,leadership_,34
leading,leadership_,34
leads,leadership_,34
merit,merit_,35
milestone,milestone_,36
milestones,milestone_,36
motivated,motivat_,37
notable,notabl_,38
notably,notabl_,38
perfect,perfect_,39
perfection,perfect_,39
perfectly,perfect_,39
physicist,physicist_,40
physicists,physicist_,40
productive,productiv_,41
publish,publish_,42
publishable,publish_,42
published,publish_,42
publishes,publish_,42
publishing,publish_,42
remarkable,remarkabl_,43
remarkably,remarkabl_,43
research,research_,44
researched,research_,44
researcher,research_,44
researchers,research_,44
researching,research_,44
science,science_,45
sciences,science_,45
self starter,selfstarter_,46
selfstarter,selfstarter_,46
skill,skill_,47
skilled,skill_,47
skillful,skill_,47
skillfully,skill_,47
skills,skill_,47
state of the art,stateoftheart_,48
stateoftheart,stateoftheart_,48
success,success_,49
successes,success_,49
successful,success_,49
successfully,success_,49
superb,superb_,50
superbly,superb_,50
talent,talent_,51
talented,talent_,51
talents,talent_,51
taught,teach_,52
teach,teach_,52
teacher,teach_,52
teachers,teach_,52
teaches,teach_,52
teaching,teach_,52
technical,technical_,53
technically,technical_,53
top notch,topnotch_,54
topnotch,topnotch_,54
top rank,toprank_,55
top ranked,toprank_,55
top ranks,toprank_,55
toprank,toprank_,55
topranked,toprank_,55
topranks,toprank_,55
up and coming,upandcom_,56
upandcoming,upandcom_,56
volunteer,volunteer_,57
volunteered,volunteer_,57
volunteering,volunteer_,57
volunteers,volunteer_,57
well regarded,wellregarded_,58
wellregarded,wellregarded_,58
winner,winner_,59
winners,winner_,59
winning,winner_,59
